model,error_type,severity,severity_physical_mean,error_step,step_name,baseline_score,mean_score,failure_rate,n
claude-3-haiku,factual,1,1.0,0,search,0.6158888888888889,0.5600552163885497,0.09065543072398573,180
claude-3-haiku,factual,1,1.0,1,filter,0.6158888888888889,0.5826224701224701,0.05401366929420332,180
claude-3-haiku,factual,1,1.0,2,summarize,0.6158888888888889,0.5740541927208594,0.0679257199192252,180
claude-3-haiku,factual,1,1.0,3,compose,0.6158888888888889,0.21181040564373896,0.6560899060448041,180
claude-3-haiku,factual,2,2.0,0,search,0.6158888888888889,0.5001839069816719,0.1878666493171483,540
claude-3-haiku,factual,2,2.0,1,filter,0.6158888888888889,0.4856736592024491,0.21142649597293134,420
claude-3-haiku,factual,2,2.0,2,summarize,0.6158888888888889,0.5681206865994118,0.07755977279547065,180
claude-3-haiku,factual,2,2.0,3,compose,0.6158888888888889,0.26537386260683477,0.5691205550312984,180
claude-3-haiku,factual,3,8.0,0,search,0.6158888888888889,0.5628135953066632,0.08617673502436074,180
claude-3-haiku,factual,3,8.0,1,filter,0.6158888888888889,0.5712353502688229,0.07250258841432336,180
claude-3-haiku,factual,3,8.0,2,summarize,0.6158888888888889,0.6012032019665182,0.023844701840399853,180
claude-3-haiku,factual,3,8.0,3,compose,0.6158888888888889,0.3183780703580063,0.48305923990220884,180
claude-3-haiku,omission,1,0.10558654308654308,0,search,0.6116666666666666,0.5400074972346989,0.11715395547460662,180
claude-3-haiku,omission,1,0.11479892970277589,1,filter,0.6116666666666666,0.5457330695711787,0.1077933467501164,156
claude-3-haiku,omission,1,0.1167556299909241,2,summarize,0.6116666666666666,0.5657324713768891,0.07509677704050817,153
claude-3-haiku,omission,1,0.16666666666666666,3,compose,0.6116666666666666,0.4,0.3460490463215258,2
claude-3-haiku,omission,2,0.25849243349243345,0,search,0.6116666666666666,0.5325012064616775,0.12942582049861973,540
claude-3-haiku,omission,2,0.2450108753680182,1,filter,0.6116666666666666,0.49777130778189826,0.1862049464056158,420
claude-3-haiku,omission,2,0.25519989269989274,2,summarize,0.6116666666666666,0.5207651634049721,0.14861281187198003,180
claude-3-haiku,omission,2,0.30681159420289866,3,compose,0.6116666666666666,0.47409586585234786,0.22491139097708784,115
claude-3-haiku,omission,3,0.7415075665075663,0,search,0.6116666666666666,0.5207195348650279,0.14868740894000881,180
claude-3-haiku,omission,3,0.7242298133964801,1,filter,0.6116666666666666,0.4555289043908592,0.25526609636371783,180
claude-3-haiku,omission,3,0.7062991329657996,2,summarize,0.6116666666666666,0.4382643127471241,0.2834915867894428,180
claude-3-haiku,omission,3,0.3884955752212389,3,compose,0.6116666666666666,0.46365303248412654,0.24198414307772217,113
claude-3-haiku,semantic,1,1.0,0,search,0.6145555555555556,0.6078888888888888,0.010847947929850187,180
claude-3-haiku,semantic,1,1.0,1,filter,0.6145555555555556,0.6154444444444445,0.0,180
claude-3-haiku,semantic,1,1.0,2,summarize,0.6145555555555556,0.5538888888888889,0.09871632616163456,180
claude-3-haiku,semantic,1,1.0,3,compose,0.6145555555555556,0.5048888888888888,0.17844874344603165,180
claude-3-haiku,semantic,2,2.0,0,search,0.6145555555555556,0.5705777424221868,0.07156035404091829,540
claude-3-haiku,semantic,2,2.0,1,filter,0.6145555555555556,0.575757881272167,0.0631312725638217,420
claude-3-haiku,semantic,2,1.7944444444444445,2,summarize,0.6145555555555556,0.5762888888888889,0.06226722111733882,180
claude-3-haiku,semantic,2,1.4388888888888889,3,compose,0.6145555555555556,0.4979333333333334,0.18976676911950824,180
claude-3-haiku,semantic,3,5.883333333333334,0,search,0.6145555555555556,0.5869403369534948,0.0449352680199869,180
claude-3-haiku,semantic,3,5.45,1,filter,0.6145555555555556,0.5992568376068376,0.02489395435517313,180
claude-3-haiku,semantic,3,3.088888888888889,2,summarize,0.6145555555555556,0.5433281498457969,0.11590067824766379,180
claude-3-haiku,semantic,3,1.7055555555555555,3,compose,0.6145555555555556,0.4907126984126984,0.20151612986543394,180
