w_preserved,w_survival,w_valid,mean_failure_rate,bl_mean,inj_mean
0.2,0.3,0.5,0.0,0.733,0.9069
0.2,0.4,0.4,0.0,0.772,0.8952
0.2,0.5,0.3,0.0,0.8109,0.8836
0.2,0.6,0.2,0.0,0.8498,0.8721
0.3,0.2,0.5,0.0,0.6969,0.8965
0.3,0.3,0.4,0.0,0.7358,0.8848
0.3,0.4,0.3,0.0,0.7747,0.8733
0.3,0.5,0.2,0.0,0.8137,0.8617
0.3,0.6,0.1,0.0024,0.8526,0.8505
0.4,0.2,0.4,0.0,0.6996,0.8745
0.4,0.3,0.3,0.0,0.7386,0.8629
0.4,0.4,0.2,0.0,0.7775,0.8515
0.4,0.5,0.1,0.0,0.8164,0.8404
0.5,0.2,0.3,0.0,0.7024,0.8526
0.5,0.3,0.2,0.0,0.7413,0.8413
0.5,0.4,0.1,0.0,0.7803,0.8302
0.6,0.2,0.2,0.0,0.7052,0.8311
0.6,0.3,0.1,0.0,0.7441,0.8201
